id,prediction
0,0.08634604513645172
1,0.07138712704181671
2,0.5649511218070984
3,0.5350289940834045
4,0.8499173521995544
5,0.6769435405731201
6,0.04550344496965408
7,0.007994738407433033
8,0.015339701436460018
9,0.4925365149974823
10,0.3749825656414032
11,0.19569344818592072
12,0.651623547077179
13,0.7071139216423035
14,0.005889136344194412
15,0.005274589639157057
16,0.42121651768684387
17,0.022716190665960312
18,0.6796194911003113
19,0.04951094090938568
20,0.01965947262942791
21,0.706502377986908
22,0.4774564504623413
23,0.5224599242210388
24,0.012624467723071575
25,0.04073821008205414
26,0.0122193843126297
27,0.007618185132741928
28,0.04030833765864372
29,0.6782867312431335
30,0.35400742292404175
31,0.8160554766654968
32,0.016481827944517136
33,0.010199364274740219
34,0.016856946051120758
35,0.34796833992004395
36,0.22841446101665497
37,0.8020010590553284
38,0.8088717460632324
39,0.02222226746380329
40,0.01067398115992546
41,0.3286062777042389
42,0.044138506054878235
43,0.45982199907302856
44,0.6653158068656921
45,0.04315934330224991
46,0.004382398910820484
47,0.008217135444283485
48,0.009236742742359638
49,0.014944536611437798
50,0.015641923993825912
51,0.8303220272064209
52,0.8068298697471619
53,0.010501258075237274
54,0.01728486828505993
55,0.6421751976013184
56,0.054153162986040115
57,0.8516762852668762
58,0.09466556459665298
59,0.0061636269092559814
60,0.9100998640060425
61,0.7573251724243164
62,0.2778472304344177
63,0.0415298193693161
64,0.4920955300331116
65,0.6530013680458069
66,0.017856281250715256
67,0.7974486351013184
68,0.01643112115561962
69,0.010753803886473179
70,0.7716325521469116
71,0.4627065062522888
72,0.012111072428524494
73,0.41464120149612427
74,0.7243719696998596
75,0.005005864892154932
76,0.5434893369674683
77,0.5442493557929993
78,0.4833150804042816
79,0.6738926768302917
80,0.773432195186615
81,0.8765676021575928
82,0.008908444084227085
83,0.5774087905883789
84,0.006641990505158901
85,0.0180831141769886
86,0.010141405276954174
87,0.03556695580482483
88,0.010616985149681568
89,0.009687748737633228
90,0.8194785714149475
91,0.28499898314476013
92,0.6640310287475586
93,0.004643575754016638
94,0.7542572617530823
95,0.022392822429537773
96,0.7348759770393372
97,0.0496990792453289
98,0.6623406410217285
99,0.3772714138031006
100,0.021326594054698944
101,0.020236950367689133
102,0.09381144493818283
103,0.3251444697380066
104,0.26248040795326233
105,0.7785298824310303
106,0.008780150674283504
107,0.5238407254219055
108,0.7005442976951599
109,0.6132718920707703
110,0.8335705399513245
111,0.009341899305582047
